"System","E","uE"
"Methyl formiate (Z)","0.818659999999994","0.397702144736354"
"Methyl acetate ecl (Z)","-0.270620000000008","0.656545622853076"
"Acetic anhydride ecl","-0.00988000000000966","1.31445943521748"
"Maleic anhydride","1.79362","1.07800607614848"
"Formamide","1.41651","0.36323102466422"
"Dimethylformamide","-1.16431","0.387590084401011"
"Nitrous oxide","-0.63682","0.959618339323102"
"Dinitrotetroxide free","25.44565","7.39713876483241"
"Nitrous acid trans","-0.34956","0.443684174387688"
"Nitric acid","3.02258","24.2677088323072"
"Methylnitrite","-2.27618","0.945522010638546"
"Nitromethane","-0.67529","0.746035443620063"
"Tetrahydro-2H-pyran     ","-0.158319999999996","0.689117205050607"
"Maleic anhydride        ","1.79083","1.07801361073702"
"Cyclohexanone           ","-0.0576700000000017","0.860952889558831"
"Benzoquinone            ","-1.83546","1.10203176310784"
"Hydroquinone            ","0.905750000000005","0.753755255453429"
"2-Methoxytetrahydropyran","1.57013000000001","0.702551957776532"
"Naphthalene             ","0.563279999999999","0.631040714925281"
"2-Aminobenzoic acid     ","3.97700999999999","0.971509142178892"
"1-Naphthol              ","-1.0787","0.84305151922903"
"2-Naphthol              ","0.49757","0.813720178579207"
"1,4-Naphthoquinone      ","-3.55913","1.26583566659387"
"Isophthalic acid        ","-4.59628000000001","1.49304249700437"
"Terephthalic acid       ","-9.01749999999998","1.40658593286636"
"1-Naphthoic acid        ","1.70816","1.1131776425181"
"2-Naphthoic acid        ","0.777749999999997","0.932979667269338"
"Anthracene              ","2.40144","1.78037273279625"
"Phenanthrene            ","0.989100000000001","1.41190276195279"
"9,10-Anthraquinone      ","-3.40343","3.07694657019204"
"9,10-Phenanthraquinone  ","-2.21903","2.94099439789117"
"5,12-Naphthacenequinone ","-5.70029","3.4771883149147"
"Propane  tr/tr               ","-0.31889","0.287016574593086"
"Biphenyl                     ","2.17908","0.89874611723929"
"n-Butane                     ","0.109570000000001","0.762002989430232"
"Cyclohexane chair            ","-1.66875","1.09866654578981"
"Methylcyclohexane eq         ","-0.445970000000003","0.924314092434533"
"1,4-tr-Dimethylcyclohexane ee","1.18053","1.06663920321487"
"Dimethylether tr/tr          ","0.295610000000003","0.37496539386937"
"2-Methoxytetrahydropyran ax  ","1.58768999999999","0.702961519004374"
"Aminocyclohexane eq          ","-0.452929999999999","0.786391381086919"
"N-Methylpiperidine eq        ","2.2144","0.72976420006674"
"4-Methylpiperidine eq        ","-0.0850599999999986","0.710303860985934"
" n-Pentane","0.518859999999997","1.10752577979502"
" 2-Methylbutane","0.444289999999995","0.888802341514049"
" Neopentane","-0.134710000000005","0.834635232691566"
" n-Hexane","1.26199","1.51039060362091"
" 3-Methylpentane","0.682339999999996","1.08753035443591"
" 2-Methylpentane","1.11507","1.15135116331893"
" 2,3-Dimethylbutane","-0.163339999999998","1.02135399499939"
" 2,2-Dimethylbutane","-0.208150000000003","0.769716824007128"
"1-Butene","-0.59708","0.362494972699506"
" cis-2-Butene","-1.71868","0.697661744446989"
" trans-2-Butene","-0.69754","0.306066868719892"
" Isobutene","-1.77542","0.445476386833684"
" 1-Butyne","-0.26032","0.354464438169313"
" 2-Butyne","0.0011999999999972","0.732113306726721"
" Cyclooctatetraene","-4.05282","1.69597584739129"
" Dimethylamine","-1.02821","0.474903066975017"
" Ethylamine","0.568579999999999","0.40711133127726"
" Acetonitrile","0.253309999999999","0.212920986664668"
" Methyl isocyanide","-17.58719","8.88852523557451"
" Propanol","0.0930899999999966","0.284386580984329"
" Isopropanol","0.402379999999994","0.489073764919806"
" n-Butanol","0.571680000000001","0.588008410786971"
" Isobutanol","0.650779999999997","0.541654560185984"
" 2-Butanol","0.738299999999995","0.716111675858622"
" tert-Butanol       ","-0.00701999999999714","0.643892461262862"
"Dimethyl ether","0.295699999999997","0.37493651313612"
"Ethanol","0.454059999999998","0.395193163783944"
"Methane","-0.16236","0.42002418572824"
"Ethane","-0.709890000000001","0.318498838449644"
"Propane","-0.338889999999999","0.287016574593086"
"n-Butane","0.0895700000000019","0.762002989430232"
"n-Pentane","0.508859999999999","1.10752577979502"
"n-Hexane","1.22199000000001","1.51039060366087"
"n-Heptane","1.77199","1.91678825352407"
"n-Octane","2.35708","2.33245988401025"
"n-Nonane","3.2513","2.74992487284351"
"n-Decane","3.77842","3.16986153267042"
"n-Undecane","4.22893999999999","3.59135108408166"
"n-Dodecane","5.38694000000001","4.01363879114349"
"n-Tridecane","5.76362","4.43665486952581"
"n-Tetradecane","6.42118000000001","4.86026730932578"
"n-Pentadecane","6.57808","5.28414101969248"
"n-Hexadecane","7.39576","5.70840291044302"
"2-Methylpropane","0.176110000000001","0.648185410070897"
"2-Methylbutane","0.404289999999996","0.888802341514049"
"2-Methylpentane","1.14366","1.15098784379525"
"2-Methylhexane","1.7861","1.49742750685758"
"2-Methylheptane","2.44484000000001","1.89874538494313"
"2-Methylnonane","2.91972000000001","2.72708594903185"
"Singlet methylene (CH2), C2v, 1-A1","75.67745","8.99062936155894"
"Methane (CH4), Td","-0.272359999999999","0.420024692437831"
"Ammonia (NH3), C3v","0.588240000000001","0.345972853405656"
"Water (H2O), C2v","0.64237","0.181783321396073"
"Acetylene (C2H2), D0h","0.959060000000001","0.357305735928386"
"Ethylene (H2C=CH2), D2h","-0.3041","0.639128043523371"
"Ethane (H3C-CH3), D3d","-0.779820000000001","0.31847441656113"
"Hydrogen cyanide (HCN), C0v","1.65115","0.685302327912884"
"Carbon monoxide (CO), C0v","0.653890000000001","0.553089403141844"
"Formaldehyde (H2C=O), C2v","0.3901","0.274400440000888"
"Methanol (CH3-OH), Cs","0.452039999999997","0.426137537309168"
"N2 molecule, D0h","0.06716","0.678604057401261"
"Hydrazine (H2N-NH2), C2","0.164550000000002","0.62939981993419"
"Hydrogen peroxide (HO-OH), C2","0.395780000000002","0.253206681274682"
"Carbon dioxide (CO2), D0h","0.325200000000009","0.719643455668369"
"N2O, Cs","-0.638059999999999","0.959713484604113"
"O3 (ozone), C2v","-5.78019","1.78662563646789"
"Propyne (C3H4), C3v","0.483260000000001","0.559746132697574"
"Allene (C3H4), D2d","-1.06405","1.44112402366214"
"Cyclopropene (C3H4), C2v","0.721299999999999","2.28625479915417"
"Propene (C3H6), Cs","-0.74608","0.283120649890521"
"Cyclopropane (C3H6), D3h","0.774579999999998","0.573753587641489"
"Propane (C3H8), C2v","-0.318860000000001","0.28701137558514"
"Trans-1,3-butadiene (C4H6), C2","-0.915409999999998","0.46443266051207"
"2-Butyne (C4H6), D3h, eclipsed","0.616199999999999","0.709275648345628"
"Methylenecyclopropane (C4H6), C2v","1.21272","1.42430458658238"
"Bicyclo[1.1.0]butane (C4H6), C2v","1.5642","3.60401464043952"
"Cyclobutene (C4H6), C2v","-2.59931","1.85905108383815"
"Cyclobutane (C4H8), D2d","0.61256","0.6224571351562"
"Isobutene (C4H8), C2v","-1.77556","0.445466867479339"
"Trans-butane (C4H10), C2h","0.109439999999999","0.762042485286904"
"Isobutane (C4H10), C3v","0.14622","0.648166255529398"
"Spiropentane (C5H8), D2d","6.95077","3.76599763611234"
"Benzene (C6H6), D6h","-0.584379999999999","0.762891473993204"
"Methylamine (H3C-NH2), Cs","-0.30426","0.44494263975491"
"Acetonitrile (CH3-CN), C3v","0.253589999999999","0.212959527923833"
"Nitromethane (CH3-NO2), Cs","-0.67634","0.746092570027773"
"Methylnitrite (CH3-O-N=O), NOCH trans, ONOC cis, Cs","-5.9881","1.92754935621138"
"Formic acid (HCOOH), HOCO cis, Cs","0.0939400000000035","0.433740959573515"
"Methyl formate (HCOOCH3), OCOC cis, Cs","0.819500000000005","0.397699342879121"
"Acetamide (CH3CONH2), C1","-0.139200000000002","0.366866801969261"
"Aziridine (cyclic CH2-NH-CH2 ring), Cs","0.3857","0.323064186706791"
"Cyanogen (NCCN), D0h","-0.590530000000001","0.660215548973007"
"Dimethylamine, (CH3)2NH, Cs","-1.02867","0.474872450859983"
"Trans-ethylamine (CH3-CH2-NH2), Cs","0.56861","0.407127773371374"
"Ketene (H2C=C=O), C2v","-4.75433","2.89588855315145"
"Oxirane (cyclic CH2-O-CH2), C2v","0.30395","0.350602886018273"
"Acetaldehyde (CH3CHO), Cs","-0.408240000000006","0.228607032123221"
"Glyoxal (O=CH-CH=O), trans, C2h","1.30558","0.322687131223069"
"Ethanol (CH3CH2OH), trans, Cs","0.453989999999997","0.395191932646834"
"Dimethyl ether (CH3-O-CH3), C2v","0.295729999999999","0.374935402209592"
"Acrylonitrile (H2C=CHCN), Cs","-1.28494","0.388366839700332"
"Acetone (CH3-CO-CH3), C2v","-0.858170000000001","0.324318154023758"
"Acetic acid (CH3COOH), single bonds trans, Cs","-0.483730000000008","0.533722910109935"
"Isopropanol, (CH3)2CH-OH, gauche isomer, C1","0.520949999999999","0.424504701010666"
"Methyl ethyl ether (CH3-CH2-O-CH3), trans, Cs","0.579519999999995","0.41670551718605"
"Trimethyl amine, (CH3)3N, C3v","-0.74087","0.63409322347588"
"Furan (cyclic C4H4O), C2v","0.968969999999999","0.43123390011045"
"Pyrrole (planar cyclic C4H4NH), C2v","1.75397","0.66314733358293"
"Pyridine (cyclic C5H5N), C2v","-0.00726999999999833","0.483453454357345"
"H2 molecule, D0h","23.09824","4.42537991527377"
"Methylallene","-1.87019","1.53143806725286"
"Isoprene","-2.32593","0.707458210876076"
"Cyclopentane twist","-0.179970000000001","0.504128705827233"
"n-Pentane","0.519019999999998","1.10749137226351"
"Neopentane","-0.134800000000006","0.834645933342299"
"1,3-Cyclohexadiene","0.489839999999997","0.709725790724063"
"1,4-Cyclohexadiene","-1.27795","1.01744763440582"
"Cyclohexane chair","-1.66882","1.09866135825502"
"n-Hexane","1.26158","1.51041636178493"
"3-Methylpentane","0.680689999999998","1.08748300468374"
"Toluene stag","0.14664","0.360008239497409"
"n-Heptane","1.73185","1.91679801526683"
"Cyclooctatetraene","-4.05322","1.69586678768923"
"n-Octane","2.31717","2.3324701260478"
"Naphthalene","0.557780000000001","0.631109656091286"
"Azulene","-3.24224000000001","1.22797753848264"
"Z-Methylacetate","-0.219909999999999","0.656546296304901"
"tert-Butanol","-0.00618000000000052","0.643887241362317"
"Anilin","0.421990000000001","0.393225378152"
"Phenol (planar)","-0.192799999999998","0.665859757290794"
"Divinylether","-0.42303","0.390447709630558"
"Tetrahydrofuran","0.0597199999999987","0.480551745859796"
"Cyclopentanone","-0.0487699999999975","0.489504979616836"
"Benzoquinone","-1.83554","1.10205457103991"
"Pyrimidine","2.40056999999999","0.402063776363848"
"1,2-dicyano ethane","1.35259","0.950489921080809"
"Pyrazin","-1.94658","0.723470529691555"
"Acetyl acetylene","-2.43063","0.536107074553731"
"Crotonaldehyde","0.00479999999999947","0.539278278610111"
"Acetic anhydride","-2.89876999999998","1.31431803742761"
"Isobutane nitrile","-1.59079","0.433620029287963"
"Methylethylketone","-0.397710000000004","0.435159412043336"
"2-Methylpropionaldehyde","-1.09209","0.438431424202892"
"1,4-Dioxane","0.185050000000004","0.674494056643823"
"Tetrahydropyrrole","1.0715","0.519025075846336"
"Nitro-s-butane","-2.07125","0.625776168406247"
"Diethylether","-0.533789999999996","0.498587581177256"
"1,1-Dimethoxy ethane","0.929270000000002","0.513674403906512"
"t-Butylamine","0.853630000000003","0.64076841185824"
"N-Methylpyrrole","1.18807","0.409116410790058"
"Tetrahydropyran","-0.166849999999997","0.689794037977869"
"Diethylketone","-0.654380000000003","0.672642796393623"
"Isopropylacetate","0.466439999999992","0.895374298435319"
"Piperidine","-0.52528","0.712599980211437"
"t-Butylmethylether","1.10194","0.615749151077454"
"Diisopropylether","0.107280000000003","0.991604479814153"
"100-01-6     ","-2.0078633652008","0.738245556879249"
"100-02-7     ","0.0470820650096009","0.894717897487644"
"109-95-5     ","-4.0650517973231","0.804104833868857"
"118-96-7     ","5.4563854110899","1.93587954752149"
"121-14-2     ","1.99568043977056","1.33572925628153"
"121-82-4     ","1.2893090439771","4.80149121088633"
"13980-04-6   ","1.0867834799235","1.3042957634706"
"140-79-4     ","-0.671716042065","0.537118995655582"
"1516-60-5    ","-0.596549961759095","2.01558974161344"
"153654-73-0  ","-0.605382198852794","19.5177156728116"
"19836-28-3   ","26.715373957935","33.0928060391491"
"20062-22-0   ","-2.6154719311664","8.31018581018403"
"24886-73-5   ","-1.2663302868069","2.62083817852082"
"28464-24-6   ","13.8594188145316","10.1888094358329"
"32366-26-0   ","-0.732599866156804","2.27496018013132"
"4164-28-7    ","-0.78676868068834","0.543011755130561"
"4164-37-8    ","-0.120958871892901","2.69010844942627"
"509-14-8     ","4.411886500956","19.2143635515366"
"540-80-7     ","0.800615678776303","2.14476860106526"
"543-67-9     ","-1.6016520267686","1.09983134027041"
"544-16-1     ","-3.0235151816444","0.762559369181412"
"554-84-7     ","1.079983040153","0.892623094207386"
"55-63-0      ","4.5788684703633","4.5504275779112"
"56522-42-0   ","7.1613586042065","5.3051424814568"
"57449-43-1   ","-1.27916747609943","3.08136173251943"
