# Data from Fig. 5 in Proppe2021
"lgk_exp","lgk_MPE","u(95)_A","u(95)_B"
-0.5003129173815962,-0.36134549313039815,0.25522264413733614,0.26307183780803023
1.3654879848908996,1.2702531828093444,0.2321179821452752,0.19068661965679432
1.900913067737669,1.952669353220246,0.22523287895949723,0.16452570118762797
4.220108088040055,4.101009962983039,0.22575798951380494,0.16664434448284038
5.681241237375588,5.600319485786719,0.23223439486348524,0.19110289088427665
7.269512944217916,7.3777647619114415,0.25133670569058786,0.2519778579302044
7.650307523131937,7.817030995523032,0.27394797991683423,0.31282679233450816
-2.025028005701931,-2.0442494071802906,0.20904368764285172,0.07587546796157117
-1.5718652059712113,-1.5386017698361707,0.20896290981364926,0.0751605844068373
-0.4424927980943421,-0.4076843381798763,0.20814429928374806,0.06743090329325838
0.6551384348113821,0.6407207808065712,0.20718760961009722,0.056834280477830894
1.021189299069938,0.9718774518613698,0.2087187207761271,0.07295172845385599
1.7634279935629373,1.710680517281489,0.21420713798101676,0.11200242751820084
2.505149978319906,2.5247064862688418,0.2094294034845356,0.07919065255942273
3.519827993775719,3.621310157099631,0.22727638808705816,0.17264272418834856
4.971275848738105,4.9417190068019465,0.2167876088834973,0.12616506451237688
6.727541257028556,6.69854094509081,0.21170951740289604,0.09632116080077856
7.8221680793680175,7.817695098988997,0.2082931046403992,0.06890965541860238
-2.517126416391246,-2.5127098237338377,0.20813155866866964,0.06730255282263513
-1.438898616350944,-1.4272715074782196,0.20726096510766284,0.05773010938256538
-1.068542129310995,-1.0844080842545027,0.207834312022092,0.0642232309508011
-0.21253952548158497,-0.3194943657164472,0.21571181256161306,0.120459991372178
0.4727564493172124,0.5232945437722261,0.21173750547964387,0.09651145013070384
1.130333768495006,1.21116651401805,0.2211329815601474,0.14706031337780998
1.7363965022766426,1.6585358985403298,0.22555631335668655,0.16583345510300912
3.0644579892269186,3.0256964228466785,0.22489704402560426,0.16315806895328608
7.44870631990508,7.434457318948485,0.26405621130524903,0.2872128964144897
-0.9746941347352298,-0.9492297296794219,0.213854379553831,0.10992576549687266
-0.12551818230053352,-0.12059122451767908,0.21150322509641806,0.09490627516130817
2.8836614351536176,2.780956756696194,0.24810215938028027,0.24247987352460612
6.813580988568192,6.674633225982131,0.2412105507880929,0.22128853712161894
7.489958479424835,7.471256532537868,0.23559445862698639,0.2028170861017421
7.804139432335351,7.869236067547415,0.23386589751161,0.19686104690301232
6.787460474518415,6.774725281173351,0.23029483358361014,0.1840664922841486
7.184691430817598,7.20737130473149,0.21005885836527977,0.08429536212570225
7.54282542695918,7.5308779003951365,0.22082369782105346,0.1456661151508626
7.501059262217751,7.493080389070026,0.20653726945439857,0.04795422365187121
7.771587480881255,7.7467570202736695,0.2115896606613573,0.09550177733797062
7.6739419986340875,7.696398938398124,0.20872139801970033,0.0729763535925309
0.33041377334919086,0.33279987419518914,0.23453850436418552,0.199195568125026
0.9978230807457255,0.8370820925171978,0.2616911448431976,0.28088077922928784
1.6711728427150832,1.7027324176404348,0.21258610465088185,0.10210646380869969
3.1492191126553797,3.1497344147296427,0.20779808463576632,0.06383604561682492
3.651278013998144,3.6807433717330875,0.20887222876286754,0.07434889882550783
4.519827993775719,4.50731806638741,0.21613760269307888,0.12274892107898619
6.396199347095736,6.200430772518245,0.2438437041030116,0.2295545704822586
6.754348335711019,6.65526857690975,0.21641202432684165,0.12420229886756011
7.02530586526477,6.9950852666206815,0.2249247408591152,0.16327124138623614
6.962369335670021,6.955325382335271,0.21003442938977515,0.0841035300873546
7.176091259055681,7.2213917207060705,0.21487547189954126,0.11583470482463529
7.187520720836463,7.168757700790655,0.2114327166787721,0.09441758590942309
7.791690649020118,7.89038057067903,0.22281889213372533,0.15445736356459136
0.9708116108725178,0.9570796598383277,0.2090931115153688,0.07630919222350555
2.4756711883244296,2.4759616058724774,0.2068948574306291,0.05307099232072362
3.0492180226701815,3.0333707933438996,0.2075378780266007,0.06096934110389529
3.8228216453031045,3.9009914843905857,0.2184048282136746,0.1343008130800618
4.603144372620182,4.72219193680926,0.24532090070804405,0.2340966898566525
6.123851640967086,6.155628631312109,0.2112991740087202,0.09348465098320348
6.658011396657113,6.512406776478742,0.22653643717415406,0.1697425404024819
6.445604203273597,6.470653578947747,0.20866996212435232,0.07250159888501473
6.755112266395071,6.749898313176867,0.21051112593977056,0.08776537829520051
6.698970004336019,6.694683601847848,0.20958816375858186,0.08051154924985589
7.469822015978163,7.452045062058946,0.21112600480253635,0.09226007696205474
7.978180516937414,7.928617556746426,0.2136779877581977,0.10887240004740645
7.96189547366785,7.97337955546036,0.2100224036314481,0.08400892184265461
3.4082399653118496,3.3928020573295026,0.21545399842352964,0.11905308211058457
6.354108439147401,6.399404589773153,0.21220199975753262,0.09961430789241744
6.993876914941211,6.9716569951766765,0.21301049592085297,0.10478920106720124
7.670245853074124,7.647731380413978,0.2114087417527039,0.09425081103452009
3.100370545117563,3.1000840508614553,0.20722652925354407,0.05731170630288233
6.176091259055681,6.187465000179918,0.20981738524074148,0.0823778576331846
6.820201459485641,6.775115168900768,0.21202452400832916,0.09844075656513877
7.463892988985907,7.469350654715381,0.20860766910592782,0.07192189225752392
6.285557309007774,6.279182545200087,0.22826749818497075,0.17646292404186176
6.164352855784437,6.227629438353785,0.23130165700315472,0.1877463083623984
7.045322978786658,6.932587133560134,0.22129392261781927,0.14778102326691048
7.324282455297693,7.375988089901516,0.21742597018135476,0.1294350348428381
7.371067862271736,7.417750858692726,0.21759075855509918,0.13026632807925168
