"System","E","uE"
"Acetic acid stag (Z)","-0.178330000000003","0.0991062161274546"
"Propionic acid C-ecl","1.99999999921374e-05","0.174828595773415"
"Oxalic acid 4-ring","-1.51884000000001","0.101676771487992"
"Benzoic acid","0.629519999999999","0.139390884340635"
"Methyl formiate (Z)","0.870480000000001","0.0557865475909787"
"Methyl acetate ecl (Z)","-0.395260000000007","0.129897459717241"
"Acetic anhydride ecl","0.849189999999993","0.501445461067692"
"Maleic anhydride","0.672529999999995","0.282591876304987"
"Formamide","1.23694","0.133665572896039"
"Dimethylformamide","-0.0944699999999941","0.184572468984844"
"Nitrous oxide","-0.640729999999998","0.0534814077217152"
"Dinitrotetroxide free","-7.5818","3.57232789973395"
"Nitrous acid trans","0.0512099999999975","0.0945254113766108"
"Nitric acid","-0.673340000000003","1.93431148217884"
"Methylnitrite","-1.92258","0.849254184044787"
"Nitromethane","-0.471060000000001","0.131979243940101"
"Tetrahydro-2H-pyran     ","0.328099999999999","0.308556206011947"
"Maleic anhydride        ","0.672550000000001","0.28259450865651"
"Cyclohexanone           ","1.13601","0.157630675202752"
"Benzoquinone            ","-1.67045","0.257794861958383"
"Hydroquinone            ","-0.755969999999998","0.186716926755882"
"2-Methoxytetrahydropyran","1.00796","0.419937680815712"
"Naphthalene             ","0.000610000000001776","0.18046759907684"
"2-Aminobenzoic acid     ","2.78694","0.159486660948266"
"1-Naphthol              ","-1.67862","0.183449747105433"
"2-Naphthol              ","-0.46427","0.103067470423804"
"1,4-Naphthoquinone      ","-3.65381","0.151199662686848"
"Isophthalic acid        ","-5.61061000000001","0.266444928918395"
"Terephthalic acid       ","-10.76382","0.335160636388699"
"1-Naphthoic acid        ","-0.618729999999999","0.273951102049698"
"2-Naphthoic acid        ","-0.506700000000002","0.225154436451224"
"Anthracene              ","-0.370839999999994","0.268565590464861"
"Phenanthrene            ","0.3523","0.309741789808298"
"9,10-Anthraquinone      ","-4.58597","0.53931991158347"
"9,10-Phenanthraquinone  ","-3.56561","0.473055242591484"
"5,12-Naphthacenequinone ","-5.53877","0.791849141935837"
"Propane  tr/tr               ","-0.0594499999999982","0.0597870608183057"
"Biphenyl                     ","0.815840000000001","0.201629516111791"
"n-Butane                     ","0.000740000000000407","0.126323550217127"
"Cyclohexane chair            ","0.115639999999999","0.338619776961646"
"Methylcyclohexane eq         ","-0.1629","0.344002169537775"
"1,4-tr-Dimethylcyclohexane ee","0.0343499999999963","0.479510900419801"
"Dimethylether tr/tr          ","0.218760000000003","0.0694932981235544"
