HgCl2	-0.77	-0.82	0.21	-0.79	0.07	InN	-0.10	0.00	0.15	-0.12	0.03
InP	-0.46	-0.34	0.08	-0.41	0.04	InTe	-0.50	-0.32	0.04	-0.37	0.06
InAs	-0.31	-0.39	0.08	-0.31	0.03	InS	-0.70	-0.61	0.13	-0.78	0.02
InSb	-0.16	-0.27	0.07	-0.24	0.03	IrO2	-0.95	-0.79	0.18	-0.92	0.03
IrCl3	-0.64	-0.59	0.17	-0.64	0.03	IrS2	-0.48	-0.36	0.14	-0.52	0.03
K2O	-1.25	-1.22	0.21	-1.28	0.05	K2S	-1.31	-1.24	0.16	-1.31	0.04
K2Se	-1.36	-1.24	0.14	-1.31	0.05	KF	-2.94	-3.19	0.24	-3.11	0.06
KCl	-2.26	-2.25	0.17	-2.26	0.02	K2O2	-1.28	-1.23	0.22	-1.28	0.06
K3As	-0.48	-0.40	0.11	-0.35	0.06	K2S2	-1.12	-1.11	0.14	-1.18	0.03
LaS	-2.36	-2.14	0.16	-2.40	0.07	LaN	-1.57	-1.32	0.18	-1.53	0.07
LaI3	-1.73	-1.61	0.09	-1.76	0.03	LaCl3	-2.78	-2.67	0.23	-2.75	0.06
Li2O	-2.07	-2.00	0.26	-2.07	0.10	Li2S	-1.52	-1.51	0.15	-1.59	0.03
Li2Se	-1.45	-1.37	0.11	-1.46	0.04	Li3N	-0.43	-0.45	0.24	-0.50	0.10
Li3Sb	-0.83	-0.67	0.07	-0.65	0.09	LiF	-3.19	-3.37	0.23	-3.30	0.07
Li3Bi	-0.60	-0.57	0.05	-0.61	0.09	LiCl	-2.12	-2.03	0.17	-2.05	0.11
Li2O2	-1.64	-1.58	0.21	-1.64	0.06	MgTe	-1.08	-1.05	0.09	-1.06	0.04
MgS	-1.79	-1.60	0.15	-1.74	0.06	MgSe	-1.52	-1.41	0.12	-1.56	0.05
MgO	-3.11	-3.14	0.20	-3.26	0.06	Mg3Bi2	-0.32	-0.23	0.07	-0.32	0.05
MgF2	-3.88	-3.79	0.25	-3.71	0.05	MnS	-1.11	-1.08	0.23	-1.03	0.06
MnO2	-1.80	-1.99	0.28	-1.96	0.09	Mn3O4	-2.05	-2.13	0.28	-2.07	0.01
Mn2O3	-1.99	-1.99	0.27	-1.94	0.02	MoS2	-0.81	-0.83	0.08	-0.86	0.03
MoO2	-2.03	-1.95	0.18	-1.96	0.04	MoO3	-1.93	-1.93	0.18	-1.95	0.05
NaF	-2.97	-3.04	0.21	-2.93	0.05	Na2O	-1.43	-1.49	0.18	-1.51	0.10
Na2S	-1.26	-1.24	0.12	-1.28	0.03	Na2Se	-1.18	-1.19	0.12	-1.23	0.04
Na2C2	0.06	0.12	0.09	0.04	0.03	NaCl	-2.13	-2.09	0.17	-2.07	0.06
Na2S2	-1.03	-0.97	0.12	-1.02	0.04	Na2Se2	-0.97	-0.95	0.13	-1.00	0.06
Na3Bi	-0.46	-0.40	0.07	-0.39	0.06	Na2O2	-1.32	-1.26	0.18	-1.29	0.08
NbN	-1.22	-1.15	0.13	-1.13	0.04	NbO	-2.10	-2.06	0.14	-2.07	0.03
Nb2O5	-2.81	-2.85	0.21	-2.87	0.04	NbF5	-3.13	-3.52	0.23	-3.33	0.13
NbO2	-2.75	-2.76	0.23	-2.77	0.05	NbCl5	-1.38	-1.46	0.22	-1.42	0.05
NiS	-0.43	-0.17	0.12	-0.35	0.04	NiSb	-0.34	-0.36	0.07	-0.33	0.06
NiTe	-0.28	-0.23	0.06	-0.28	0.03	NiSe	-0.31	-0.14	0.09	-0.32	0.03
Ni3S2	-0.42	-0.28	0.13	-0.48	0.03	OsO4	-0.82	-1.12	0.19	-0.83	0.01
PI3	-0.16	-0.05	0.06	-0.06	0.05	PCl3	-0.83	-0.83	0.21	-0.76	0.09
PBr5	-0.47	-0.31	0.04	-0.42	0.05	PCl5	-0.77	-0.74	0.19	-0.68	0.06
PbO	-1.13	-1.08	0.16	-1.08	0.04	PbS	-0.52	-0.52	0.14	-0.53	0.06
PbF2	-2.29	-2.60	0.25	-2.43	0.04	PbO2	-0.96	-0.87	0.18	-0.88	0.05
PbCl2	-1.24	-1.29	0.19	-1.24	0.06	PbBr2	-0.96	-0.88	0.09	-0.97	0.03
PdO	-0.44	-0.56	0.27	-0.52	0.09	Pd4S	-0.14	-0.14	0.09	-0.07	0.09
PdS	-0.39	-0.41	0.19	-0.40	0.07	PdS2	-0.28	-0.31	0.14	-0.33	0.05
PtS	-0.42	-0.43	0.18	-0.51	0.03	PtS2	-0.38	-0.36	0.12	-0.44	0.06
Pt2O2	-0.37	-0.19	0.22	-0.24	0.06	PtO2	-0.57	-0.53	0.20	-0.58	0.04
RbF	-2.89	-2.95	0.22	-2.87	0.04	RbI	-1.73	-1.71	0.09	-1.77	0.05
Rb2O	-1.17	-1.04	0.21	-1.10	0.05	Rb2S	-1.25	-1.16	0.15	-1.23	0.04
Rb2O2	-1.22	-1.28	0.20	-1.33	0.05	RbCl	-2.26	-2.23	0.17	-2.24	0.02
ReO3	-1.58	-1.63	0.17	-1.69	0.06	ReO2	-1.54	-1.40	0.17	-1.46	0.05
RhO2	-0.85	-0.87	0.23	-0.87	0.04	RhCl3	-0.77	-0.87	0.21	-0.81	0.03
Rh2S3	-0.54	-0.53	0.18	-0.55	0.04	Rh2O3	-0.84	-0.80	0.28	-0.79	0.05
RuO2	-1.05	-1.11	0.22	-0.99	0.06	RuBr3	-0.36	-0.34	0.08	-0.35	0.04
RuCl3	-0.53	-0.74	0.20	-0.60	0.04	RuO4	-0.50	-0.58	0.19	-0.53	0.19
SbF3	-2.37	-2.49	0.23	-2.24	0.07	Sb2O5	-1.44	-1.50	0.19	-1.43	0.06
ScAs	-1.39	-1.53	0.06	-1.45	0.03	ScF3	-4.22	-4.22	0.25	-4.11	0.06
ScCl3	-2.40	-2.37	0.21	-2.39	0.05	SiC	-0.34	-0.25	0.09	-0.32	0.07
SiO2	-3.13	-3.06	0.17	-3.09	0.06	SiS2	-0.88	-0.78	0.06	-0.83	0.06
SiSe2	-0.61	-0.50	0.06	-0.55	0.06	Si3N4	-1.10	-1.17	0.14	-1.15	0.09
SnO	-1.48	-1.20	0.14	-1.42	0.04	SnS2	-0.53	-0.37	0.09	-0.56	0.03
